'IH0001'	IH当月连续	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
2015/04/16	3100.0000	3288.2000	3088.8000	3283.8000	144423.00	137728655360	28848						
2015/04/17	3303.6001	3341.6001	3238.0000	3254.0000	271224.00	267552063488	37853						
2015/04/20	3258.0000	3315.0000	3143.6001	3146.8000	267213.00	260529438720	37975						
2015/04/21	3176.8000	3242.2000	3153.0000	3234.0000	239311.00	229320097792	37771						
2015/04/22	3250.0000	3333.2000	3229.8000	3308.0000	239676.00	235475714048	42623	3245.32					
2015/04/23	3318.6001	3348.2000	3253.3999	3267.8000	246929.00	244348157952	39573	3242.12					
2015/04/24	3248.8000	3267.8000	3170.0000	3233.0000	224297.00	217010192384	36034	3237.92					
2015/04/27	3260.0000	3358.0000	3257.8000	3357.6001	259172.00	256955105280	45698	3280.08					
2015/04/28	3339.0000	3376.0000	3265.0000	3286.8000	329692.00	327774732288	36374	3290.64					
2015/04/29	3282.0000	3325.6001	3261.0000	3295.2000	242567.00	239786655744	39968	3288.08	3266.7				
2015/04/30	3315.2000	3331.2000	3247.2000	3269.3999	202408.00	200023310336	41181	3288.4	3265.26				
2015/05/04	3295.8000	3301.8000	3225.8000	3273.2000	189061.00	185146015744	40335	3296.44	3267.18				
2015/05/05	3279.6001	3281.6001	3141.2000	3163.0000	217674.00	210023333888	38274	3257.52	3268.8				
2015/05/06	3171.2000	3257.3999	3116.0000	3153.0000	261933.00	251113046016	36206	3230.76	3260.7				
2015/05/07	3159.6001	3170.0000	3103.0000	3111.2000	234619.00	220961865728	40498	3193.96	3241.02				
2015/05/08	3131.0000	3149.0000	3051.2000	3099.8000	215483.00	200658501632	37887	3160.04	3224.22				
2015/05/11	3112.0000	3170.3999	3078.0000	3160.0000	201465.00	188934832128	30050	3137.4	3216.92				
2015/05/12	3151.0000	3194.6001	3138.0000	3175.0000	189729.00	180330070016	23176	3139.8	3198.66				
2015/05/13	3200.0000	3204.8000	3112.3999	3125.3999	165986.00	157229481984	17535	3134.28	3182.52				
2015/05/14	3131.2000	3158.3999	3108.0000	3129.3999	106178.00	99736576000	10750	3137.92	3165.94	3216.32			
2015/05/15	3140.0000	3140.0000	3054.8000	3073.2000	42093.00	39060353024	0	3132.6	3146.32	3205.79			
2015/05/18	3033.6001	3049.0000	2962.0000	2969.3999	177652.00	160675921920	30409	3094.48	3115.94	3191.56			
2015/05/19	2973.3999	3145.6001	2971.2000	3143.0000	295536.00	273278812160	32724	3088.08	3113.94	3191.37			
2015/05/20	3163.0000	3217.0000	3102.2000	3145.2000	288447.00	273041506304	41966	3092.04	3113.16	3186.93			
2015/05/21	3157.0000	3200.2000	3139.8000	3191.3999	259112.00	246253469696	44675	3104.44	3121.18	3181.1			
2015/05/22	3200.0000	3310.0000	3194.0000	3303.0000	323497.00	316097232896	49710	3150.4	3141.5	3182.86			
2015/05/25	3298.6001	3435.3999	3280.0000	3413.6001	294392.00	297241051136	58985	3239.24	3166.86	3191.89			
2015/05/26	3426.0000	3458.0000	3377.8000	3417.8000	346109.00	355529490432	60316	3294.2	3191.14	3194.9			
2015/05/27	3453.8000	3507.0000	3351.8000	3396.8000	342601.00	351430967296	58323	3344.52	3218.28	3200.4			
2015/05/28	3411.6001	3419.0000	3121.2000	3164.6001	385437.00	381146693632	47345	3339.16	3221.8	3193.87	3218.147		
2015/05/29	3179.3999	3194.8000	3060.6001	3118.6001	371616.00	350518575104	37538	3302.28	3226.34	3186.33	3212.64		
2015/06/01	3100.0000	3340.3999	3086.6001	3336.0000	344357.00	333048905728	41622	3286.76	3263	3189.47	3215.373		
2015/06/02	3340.0000	3349.2000	3220.3999	3295.6001	356277.00	351055675392	38496	3262.32	3278.26	3196.1	3220.333		
2015/06/03	3296.6001	3336.0000	3210.2000	3244.8000	411425.00	403790299136	34342	3231.92	3288.22	3200.69	3220.693		
2015/06/04	3258.8000	3395.8000	3021.2000	3373.2000	535862.00	524572033024	43924	3273.64	3306.4	3213.79	3222.867		
2015/06/05	3369.0000	3426.2000	3203.0000	3304.8000	473292.00	472055119872	46520	3310.88	3306.58	3224.04	3224.1		
2015/06/08	3315.0000	3543.0000	3285.0000	3535.0000	474019.00	488105050112	73160	3350.68	3318.72	3242.79	3234.167		
2015/06/09	3539.2000	3565.0000	3385.0000	3415.8000	558664.00	579340992512	69199	3374.72	3318.52	3254.83	3236.107		
2015/06/10	3399.0000	3445.8000	3351.2000	3365.0000	422773.00	430594785280	64664	3398.76	3315.34	3266.81	3238.713		
2015/06/11	3381.8000	3415.0000	3326.6001	3361.0000	394680.00	398282489856	64572	3396.32	3334.98	3278.39	3240.907		
2015/06/12	3373.2000	3408.0000	3330.0000	3405.2000	360426.00	364192333824	67900	3416.4	3363.64	3294.99	3245.433		
2015/06/15	3395.6001	3417.3999	3246.6001	3263.8000	398272.00	397367115776	61775	3362.16	3356.42	3309.71	3245.12		
2015/06/16	3264.8000	3293.0000	3153.2000	3193.3999	388570.00	376961171456	54689	3317.68	3346.2	3312.23	3246.133		
2015/06/17	3231.0000	3233.6001	3155.2000	3205.3999	362681.00	347296038912	41817	3285.76	3342.26	3315.24	3247.88		
2015/06/18	3200.0000	3205.0000	3065.8000	3085.3999	243040.00	229080416256	19516	3230.64	3313.48	3309.94	3247.02		
2015/06/19	3098.2000	3098.2000	2926.6001	2993.0000	83799.00	76549611520	0	3148.2	3282.3	3294.44	3243.46		
2015/06/23	2888.6001	3038.8000	2818.0000	2982.6001	535265.00	475048542208	74829	3091.96	3227.06	3272.89	3237.547		
2015/06/24	2998.8000	3058.0000	2965.0000	3044.2000	414165.00	374133358592	67504	3062.12	3189.9	3254.21	3233.187		
2015/06/25	3080.0000	3097.3999	2906.6001	2919.2000	473847.00	430506934272	65506	3004.88	3145.32	3230.33	3226.313		
2015/06/26	2906.0000	2968.8000	2666.2000	2690.0000	661394.00	563815579648	70148	2925.8	3078.22	3206.6	3211.667		
2015/06/29	2790.0000	2836.2000	2473.0000	2654.8000	861208.00	698682048512	64914	2858.16	3003.18	3183.41	3197.72		
2015/06/30	2715.2000	2886.2000	2631.2000	2847.8000	649227.00	537883705344	63114	2831.2	2961.58	3159	3193.667		
2015/07/01	2847.0000	2878.2000	2629.6001	2696.2000	553003.00	467179044864	56575	2761.6	2911.86	3129.03	3178.773		
2015/07/02	2744.8000	2814.3999	2605.0000	2740.3999	632565.00	518468829184	55597	2725.84	2865.36	3103.81	3165.28		
2015/07/03	2725.0000	2760.0000	2518.3999	2596.0000	582227.00	462505902080	49954	2707.04	2816.42	3064.95	3145.433		
2015/07/06	2850.0000	2870.0000	2633.0000	2756.8000	469021.00	384886013952	46882	2727.44	2792.8	3037.55	3127.227		
2015/07/07	2737.0000	2826.0000	2677.0000	2747.0000	403815.00	332508299264	38656	2707.28	2769.24	2998.15	3105.007		
2015/07/08	2650.0000	3055.8000	2500.2000	2500.2000	168297.00	134035128320	31316	2668.08	2714.84	2952.37	3074.42		
2015/07/09	2405.2000	2751.3999	2355.2000	2751.3999	273706.00	213805187072	23490	2670.28	2698.06	2921.69	3052.907		
2015/07/10	2739.8000	3020.0000	2700.0000	2853.0000	586568.00	509084532736	21468	2721.68	2714.36	2896.29	3042.52	3130.333	
2015/07/13	2839.0000	2892.0000	2791.0000	2799.0000	381964.00	324786487296	17872	2730.12	2728.78	2865.98	3031.867	3122.253	
2015/07/14	2814.0000	2814.3999	2646.0000	2712.6001	339183.00	277985492992	14713	2723.24	2715.26	2838.42	3011.087	3113.23	
2015/07/15	2711.8000	2734.0000	2623.0000	2708.0000	344500.00	277450588160	12407	2764.8	2716.44	2814.15	2991.5	3105.917	
2015/07/16	2694.2000	2784.3999	2667.2000	2760.6001	223454.00	183047127040	4320	2766.64	2718.46	2791.91	2975.36	3098.027	
2015/07/17	2760.0000	2799.0000	2728.2000	2792.2000	36370.00	30151098368	0	2754.48	2738.08	2777.25	2955.993	3089.43	
2015/07/20	2747.2000	2763.0000	2641.2000	2690.3999	300532.00	243355877376	15128	2732.76	2731.44	2762.12	2935.513	3079.807	
2015/07/21	2684.0000	2711.0000	2624.6001	2666.0000	313348.00	250766360576	14811	2723.44	2723.34	2746.29	2906.547	3070.357	
2015/07/22	2660.0000	2662.0000	2591.2000	2632.6001	232780.00	183770529792	16163	2708.36	2736.58	2725.71	2880.44	3058.273	
2015/07/23	2627.0000	2762.0000	2622.6001	2745.8000	282957.00	230004654080	14793	2705.4	2736.02	2717.04	2859.8	3049.257	
2015/07/24	2743.6001	2754.3999	2642.0000	2666.2000	263171.00	213170110464	15848	2680.2	2717.34	2715.85	2836.64	3038.773	
2015/07/27	2660.6001	2661.0000	2403.2000	2435.0000	256129.00	196543594496	19625	2629.12	2680.94	2704.86	2804.3	3024.867	
2015/07/28	2411.0000	2487.3999	2380.2000	2422.3999	346447.00	252711354368	16916	2580.4	2651.92	2683.59	2776.253	3010.687	
2015/07/29	2450.8000	2487.0000	2402.0000	2478.3999	272411.00	199412514816	15566	2549.56	2628.96	2672.7	2752.42	2999.277	
2015/07/30	2478.6001	2487.2000	2360.0000	2410.3999	282109.00	206826651648	17956	2482.48	2593.94	2656.2	2725.92	2986.9	
2015/07/31	2412.6001	2470.0000	2363.2000	2412.2000	262487.00	188976627712	17775	2431.68	2555.94	2647.01	2703.48	2975.25	
2015/08/03	2398.0000	2409.3999	2347.0000	2405.2000	178356.00	126960558080	17708	2425.72	2527.42	2629.43	2683.887	2963.673	
2015/08/04	2390.3999	2507.6001	2390.3999	2483.6001	197170.00	145312563200	15190	2437.96	2509.18	2616.26	2667.253	2952.4	
2015/08/05	2486.0000	2487.6001	2423.0000	2448.8000	177623.00	130967371776	15713	2432.04	2490.8	2613.69	2647.407	2940.297	
2015/08/06	2430.0000	2484.8000	2404.8000	2439.6001	216145.00	158516051968	15009	2437.88	2460.18	2598.1	2631.42	2928.867	
2015/08/07	2431.0000	2519.8000	2431.0000	2464.8000	239727.00	178736005120	15008	2448.4	2440.04	2578.69	2623.913	2917.79	
2015/08/10	2472.2000	2608.0000	2472.2000	2575.3999	213187.00	162629058560	15355	2482.44	2454.08	2567.51	2621.267	2909.493	
2015/08/11	2585.2000	2594.6001	2548.8000	2562.3999	207352.00	160132497408	14944	2498.2	2468.08	2560	2611.753	2902.71	
2015/08/12	2554.0000	2589.0000	2530.0000	2548.0000	228056.00	175194701824	14096	2518.04	2475.04	2552	2606.813	2892.793	
2015/08/13	2555.2000	2582.0000	2510.6001	2553.2000	208055.00	158626824192	13539	2540.76	2489.32	2541.63	2600.573	2882.927	
2015/08/14	2558.2000	2574.2000	2530.2000	2549.2000	195238.00	149627355136	13118	2557.64	2503.02	2529.48	2599.013	2872.223	
2015/08/17	2546.6001	2546.6001	2467.2000	2502.6001	198816.00	148877656064	14714	2543.08	2512.76	2520.09	2590.54	2858.883	
2015/08/18	2510.0000	2531.8000	2293.0000	2402.6001	262702.00	193596440576	13937	2511.12	2504.66	2506.92	2579.06	2842.033	
2015/08/19	2382.0000	2440.0000	2318.0000	2391.0000	217036.00	154472185856	9362	2479.72	2498.88	2494.84	2575.42	2824.92	
2015/08/20	2391.0000	2394.0000	2348.0000	2357.0000	101131.00	71930093568	4929	2440.48	2490.62	2475.4	2562.273	2807.59	
2015/08/21	2343.0000	2358.6001	2275.6001	2300.8000	33591.00	23420233728	0	2390.8	2474.22	2457.13	2543.867	2793.193	
2015/08/24	2194.6001	2194.6001	2005.2000	2005.2000	229796.00	141797965824	22564	2291.32	2417.2	2435.64	2517.407	2774.637	
2015/08/25	1960.4000	2002.2000	1809.8000	1809.8000	403171.00	232795242496	28539	2172.76	2341.94	2405.01	2487.313	2749.2	
2015/08/26	1853.8000	1956.4000	1781.0000	1829.6000	371256.00	208704536576	25506	2060.48	2270.1	2372.57	2458.033	2724.767	
2015/08/27	1870.0000	2043.0000	1870.0000	2034.2000	363261.00	210837569536	27404	1995.92	2218.2	2353.76	2433.82	2704.59	
2015/08/28	2067.8000	2104.0000	2009.8000	2073.0000	273270.00	167975780352	25107	1950.36	2170.58	2336.8	2409.847	2682.92	
2015/08/31	2060.2000	2072.6001	1983.4000	2052.8000	165697.00	101294039040	23446	1959.88	2125.6	2319.18	2388.593	2662.053	
2015/09/01	2049.8000	2095.0000	1969.0000	2036.0000	192928.00	118480166912	22705	2005.12	2088.94	2296.8	2367.593	2637.07	
2015/09/02	2011.0000	2144.0000	2000.0000	2007.8000	206868.00	128467329024	23523	2040.76	2050.62	2274.75	2346.767	2613.603	
2015/09/07	2060.0000	2208.0000	2047.8000	2052.3999	16627.00	10599043072	19824	2044.4	2020.16	2255.39	2323.653	2591.727	
2015/09/08	2075.0000	2182.0000	2051.2000	2170.3999	11823.00	7471760896	17757	2063.88	2007.12	2240.67	2307.127	2571.883	
2015/09/09	2194.0000	2205.3999	2160.3999	2177.8000	9056.00	5923113984	16127	2088.88	2024.38	2220.79	2298.553	2551.427	
2015/09/10	2159.6001	2198.6001	2145.8000	2181.6001	6902.00	4500729856	14976	2118	2061.56	2201.75	2290.527	2533.39	
2015/09/11	2184.0000	2213.3999	2168.2000	2176.2000	6424.00	4220584192	13421	2151.68	2096.22	2183.16	2280.453	2516.437	
2015/09/14	2208.2000	2211.0000	2100.0000	2134.0000	8613.00	5539415552	11764	2168	2106.2	2162.2	2271.24	2498.58	
2015/09/15	2136.0000	2175.0000	2130.8000	2160.0000	6459.00	4169364736	10305	2165.92	2114.9	2142.74	2262.833	2483.157	
2015/09/16	2168.0000	2269.8000	2133.2000	2243.6001	7009.00	4575662592	7304	2179.08	2133.98	2129.79	2257.447	2470.667	
2015/09/17	2233.3999	2255.3999	2192.2000	2195.2000	4292.00	2866571008	4746	2181.8	2149.9	2119.42	2247.833	2457.543	
2015/09/18	2199.8000	2224.3999	2190.2000	2207.6001	2708.00	1797645056	0	2188.08	2169.88	2110.25	2239.793	2443.6	
2015/09/21	2111.3999	2187.6001	2111.3999	2185.6001	5446.00	3525240576	9319	2198.4	2183.2	2101.68	2231.327	2431.373	
2015/09/22	2186.2000	2220.0000	2171.0000	2194.2000	5302.00	3493395200	9731	2205.24	2185.58	2096.35	2222.307	2423.11	
2015/09/23	2175.0000	2184.8000	2130.0000	2139.2000	5830.00	3770436096	10544	2184.36	2181.72	2103.05	2207.767	2414.517	
2015/09/24	2134.0000	2169.0000	2134.0000	2153.0000	4442.00	2870956800	10997	2175.92	2178.86	2120.21	2194.12	2402.937	
2015/09/25	2151.3999	2160.6001	2111.2000	2131.0000	5135.00	3290568192	11299	2160.6	2174.34	2135.28	2180.22	2393.517	
2015/09/28	2122.6001	2145.8000	2105.0000	2136.2000	4338.00	2767267072	11188	2150.72	2174.56	2140.38	2166.32	2383.447	
2015/09/29	2111.0000	2114.2000	2066.3999	2094.2000	4843.00	3038622464	11577	2130.72	2167.98	2141.44	2151.153	2375.083	
2015/09/30	2101.3999	2141.0000	2101.3999	2112.6001	4590.00	2918550528	11612	2125.4	2154.88	2144.43	2138.153	2364.347	
2015/10/08	2217.0000	2250.0000	2170.2000	2171.0000	5351.00	3537073152	11717	2129	2152.46	2151.18	2130.433	2354.747	
2015/10/09	2189.3999	2215.6001	2184.6001	2207.3999	5160.00	3407532288	11215	2144.28	2152.44	2161.16	2124.313	2349.867	
2015/10/12	2211.2000	2310.8000	2211.2000	2276.2000	6021.00	4090356736	10752	2172.28	2161.5	2172.35	2121.62	2341.947	
2015/10/13	2278.3999	2282.8000	2258.3999	2262.0000	4607.00	3135570688	9325	2205.84	2168.28	2176.93	2120.327	2332.097	2731.215
2015/10/14	2247.3999	2278.0000	2236.2000	2240.0000	5071.00	3439830784	7793	2231.32	2178.36	2180.04	2128.153	2322.78	2722.517
2015/10/15	2340.0000	2340.0000	2247.2000	2297.0000	4752.00	3237171456	5228	2256.52	2192.76	2185.81	2144.393	2315.853	2714.542
2015/10/16	2297.6001	2325.0000	2297.6001	2316.6001	3707.00	2569558784	0	2278.36	2211.32	2192.83	2160.627	2309.33	2707.623
2015/10/19	2297.3999	2305.0000	2255.0000	2263.2000	4703.00	3221434880	6194	2275.76	2224.02	2199.29	2168.26	2301.04	2699.533
2015/10/20	2267.3999	2299.0000	2252.0000	2298.0000	4810.00	3273581824	6613	2282.96	2244.4	2206.19	2175.76	2292.803	2691.117
2015/10/21	2291.0000	2313.3999	2202.8000	2251.0000	6584.00	4498434560	7336	2285.16	2258.24	2206.56	2182.367	2285.48	2682.643
2015/10/22	2251.6001	2305.0000	2251.6001	2291.0000	5604.00	3828532480	7505	2283.96	2270.24	2211.35	2190.867	2279.23	2674.793
2015/10/23	2308.8000	2321.0000	2280.2000	2320.0000	4829.00	3330177024	7995	2284.64	2281.5	2216.97	2201.273	2274.02	2666.147
2015/10/26	2331.8000	2348.8000	2301.6001	2316.3999	4726.00	3302322176	8293	2295.28	2285.52	2223.51	2210.073	2266.863	2658.06
2015/10/27	2314.0000	2319.8000	2271.0000	2314.8000	4974.00	3427033856	8551	2298.64	2290.8	2229.54	2214.887	2261.007	2649.89
2015/10/28	2301.8000	2311.0000	2275.6001	2279.0000	4753.00	3270675968	8675	2304.24	2294.7	2236.53	2218.26	2258.407	2641.637
2015/10/29	2283.2000	2299.0000	2271.2000	2287.3999	4289.00	2940432640	8843	2303.52	2293.74	2243.25	2221.787	2256.157	2633.422
2015/10/30	2284.8000	2311.0000	2271.6001	2286.2000	4486.00	3080534272	8976	2296.76	2290.7	2251.01	2225.453	2252.953	2626.115
2015/11/02	2255.8000	2293.6001	2253.2000	2266.6001	4709.00	3215565056	9145	2286.8	2291.04	2257.53	2229.873	2250.557	2618.728
2015/11/03	2275.2000	2282.8000	2247.0000	2251.0000	4603.00	3131678976	9437	2274.04	2286.34	2265.37	2232.907	2247.87	2611.56
2015/11/04	2265.3999	2372.0000	2260.8000	2367.2000	6815.00	4729856000	9926	2291.68	2297.96	2278.1	2237.027	2247.237	2605.455
2015/11/05	2364.0000	2476.0000	2350.2000	2424.0000	8064.00	5847381504	10181	2319	2311.26	2290.75	2244.653	2246.243	2599.322
2015/11/06	2428.0000	2493.6001	2417.2000	2486.8000	7134.00	5241820160	9428	2359.12	2327.94	2304.72	2253.96	2246.877	2593.587
2015/11/09	2484.0000	2564.8000	2471.3999	2507.0000	6843.00	5187294208	9313	2407.2	2347	2316.26	2264.673	2248	2588.433
2015/11/10	2497.2000	2534.8000	2485.6001	2497.0000	5739.00	4310163968	8939	2456.4	2365.22	2328.01	2274.767	2248.537	2583.163
2015/11/11	2492.2000	2510.8000	2450.2000	2498.3999	5296.00	3948057600	9141	2482.64	2387.16	2340.93	2286.74	2247.253	2578.373
2015/11/12	2496.8000	2510.8000	2447.0000	2462.0000	5269.00	3909865472	8730	2490.24	2404.62	2349.18	2297.04	2245.58	2574.145
2015/11/13	2442.8000	2468.3999	2431.0000	2436.2000	4947.00	3631062016	8159	2480.12	2419.62	2355.16	2307.213	2243.717	2568.255
2015/11/16	2401.0000	2437.3999	2396.2000	2433.3999	4813.00	3490372096	7294	2465.4	2436.3	2363.67	2317.12	2241.72	2562.323
2015/11/17	2445.6001	2503.0000	2411.0000	2418.0000	5725.00	4229968640	6028	2449.6	2453	2369.67	2327.913	2239.533	2555.878
2015/11/18	2433.0000	2454.8000	2420.6001	2425.0000	4347.00	3178156288	4600	2434.92	2458.78	2378.37	2338.327	2238.24	2548.562
2015/11/19	2436.8000	2471.6001	2432.6001	2471.6001	3104.00	2277907456	2628	2436.84	2463.54	2387.4	2348.347	2239.39	2540.712
2015/11/20	2461.0000	2476.8000	2460.0000	2468.6001	1888.00	1397603328	0	2443.32	2461.72	2394.83	2357.053	2240.683	2532.802
2015/11/23	2411.6001	2441.8000	2404.2000	2409.2000	4983.00	3620356864	13859	2438.48	2451.94	2399.47	2361.487	2241.553	2524.572
2015/11/24	2403.0000	2411.8000	2372.0000	2405.0000	5775.00	4144663040	14563	2435.88	2442.74	2403.98	2366.253	2243.29	2518.242
2015/11/25	2405.0000	2434.0000	2387.8000	2430.0000	5784.00	4178282752	14579	2436.88	2435.9	2411.53	2372.587	2250.37	2512.503
2015/11/26	2438.3999	2461.2000	2412.2000	2415.0000	5962.00	4359577600	14667	2425.56	2431.2	2417.91	2376.52	2260.457	2504.828
2015/11/27	2418.0000	2421.8000	2293.6001	2318.0000	7509.00	5323636736	14651	2395.44	2419.38	2419.5	2376.567	2268.597	2496.682
2015/11/30	2318.0000	2329.0000	2275.3999	2306.0000	7161.00	4955472896	14477	2374.8	2406.64	2421.47	2377.993	2273.127	2488.858
2015/12/01	2305.2000	2348.0000	2293.0000	2321.8000	6147.00	4269519872	14080	2358.16	2397.02	2425.01	2378.787	2277.273	2480.097
2015/12/02	2324.3999	2451.8000	2319.0000	2448.0000	8925.00	6364228608	13794	2361.76	2399.32	2429.05	2385.353	2283.86	2472.957
2015/12/03	2432.3999	2448.6001	2408.3999	2438.2000	7092.00	5167279104	13144	2366.4	2395.98	2429.76	2390.26	2290.563	2463.817
2015/12/04	2419.8000	2423.8000	2365.0000	2378.0000	6099.00	4372354048	13044	2378.4	2386.92	2424.32	2392.193	2296.733	2455.168
2015/12/07	2389.2000	2392.8000	2341.8000	2368.0000	5571.00	3968178688	12850	2390.8	2382.8	2417.37	2393.913	2301.993	2446.86
2015/12/08	2351.0000	2362.0000	2327.0000	2337.0000	5997.00	4215468032	12377	2393.84	2376	2409.37	2394.653	2304.77	2438.327
2015/12/09	2331.6001	2373.8000	2330.3999	2352.0000	5627.00	3971576576	11890	2374.64	2368.2	2402.05	2397.087	2307.673	2429.55
2015/12/10	2350.0000	2395.6001	2320.0000	2329.0000	6530.00	4626190848	11643	2352.8	2359.6	2395.4	2398.473	2310.13	2421.76
2015/12/11	2340.0000	2350.0000	2310.3999	2340.0000	5639.00	3940367616	10825	2345.2	2361.8	2390.59	2400.267	2312.86	2414.648
2015/12/14	2310.0000	2419.8000	2305.3999	2413.8000	6715.00	4741218304	9943	2354.36	2372.58	2389.61	2405.173	2317.523	2408.052
2015/12/15	2403.2000	2416.2000	2370.0000	2372.6001	5889.00	4223048448	7674	2361.48	2377.66	2387.34	2409.227	2321.067	2402.112
2015/12/16	2386.2000	2396.6001	2369.0000	2374.0000	4904.00	3506512128	5991	2365.88	2370.26	2384.79	2409.453	2323.24	2396.953
2015/12/17	2386.2000	2429.6001	2385.0000	2403.6001	4452.00	3214032128	3309	2380.8	2366.8	2381.39	2408.773	2326.713	2392.128
2015/12/18	2400.0000	2465.8000	2397.2000	2430.2000	2338.00	1701960192	0	2398.84	2372.02	2379.47	2406.887	2330.423	2387.012
2015/12/21	2396.0000	2474.8000	2385.8000	2466.2000	6483.00	4742143488	11176	2409.32	2381.84	2382.32	2405.527	2335.1	2383.237
2015/12/22	2472.3999	2479.8000	2445.3999	2465.0000	5421.00	4000048128	10945	2427.8	2394.64	2385.32	2404.46	2339.613	2381.362
2015/12/23	2470.0000	2512.8000	2457.0000	2470.8000	7040.00	5238633984	11632	2447.16	2406.52	2387.36	2403.54	2345.14	2379.828
2015/12/24	2472.3999	2478.6001	2433.3999	2458.0000	6207.00	4574068736	11338	2458.04	2419.42	2389.51	2403.407	2350.223	2376.58
2015/12/25	2458.0000	2480.8000	2454.0000	2480.8000	4783.00	3540430592	11240	2468.16	2433.5	2397.65	2404.893	2356.053	2374.785
2015/12/28	2468.2000	2479.6001	2377.0000	2379.8000	6018.00	4391944192	11555	2450.88	2430.1	2401.34	2403.107	2360.113	2371.78
2015/12/29	2395.6001	2422.6001	2388.8000	2411.0000	5634.00	4064687872	11706	2440.08	2433.94	2405.8	2402.873	2365.393	2370.238
2015/12/30	2417.3999	2422.6001	2386.0000	2404.6001	5852.00	4221780736	11588	2426.84	2437	2403.63	2402.193	2370.26	2367.303
2015/12/31	2405.6001	2425.3999	2387.3999	2388.8000	5776.00	4172692992	11063	2413	2435.52	2401.16	2399.433	2373.89	2364.318
2016/01/04	2374.0000	2388.3999	2240.2000	2254.0000	4786.00	3346574080	10650	2367.64	2417.9	2394.96	2392.28	2374.667	2362.267
2016/01/05	2250.2000	2299.0000	2211.8000	2261.0000	7003.00	4758427136	11654	2343.88	2397.38	2389.61	2387.34	2374.413	2358.18
2016/01/06	2260.0000	2303.3999	2256.2000	2288.0000	6342.00	4333038592	11130	2319.28	2379.68	2387.16	2383.44	2374.847	2353.472
2016/01/07	2268.0000	2268.2000	2140.0000	2145.8000	1951.00	1299905408	10507	2267.52	2347.18	2376.85	2373.967	2373.277	2348.028
2016/01/08	2200.0000	2244.8000	2135.8000	2194.2000	7394.00	4877367296	11371	2228.6	2320.8	2370.11	2366.607	2371.563	2343.708
2016/01/11	2168.0000	2186.0000	2105.6001	2109.6001	7682.00	4969221632	10850	2199.72	2283.68	2358.59	2359.66	2368.113	2338.722
2016/01/12	2136.8000	2154.8000	2112.6001	2121.2000	6770.00	4327313920	9483	2171.76	2257.82	2343.96	2353.5	2365.747	2333.393
2016/01/13	2155.0000	2167.3999	2095.0000	2098.8000	7022.00	4496240640	7694	2133.92	2226.6	2330.27	2346.067	2362.427	2327.615
2016/01/14	2052.0000	2133.8000	2050.0000	2129.0000	6296.00	3952675840	4723	2130.56	2199.04	2318.02	2335.433	2360.393	2322.937
2016/01/15	2117.0000	2124.3999	2074.8000	2079.0000	3876.00	2445507840	0	2107.52	2168.06	2301.79	2323.46	2356.86	2318.045
2016/01/18	2026.0000	2069.0000	2020.8000	2028.0000	6503.00	3983819008	8798	2091.2	2145.46	2281.68	2311.793	2351.993	2313.007
2016/01/19	2040.2000	2096.0000	2022.4000	2085.0000	6900.00	4269603072	9095	2083.96	2127.86	2262.62	2302.36	2348.137	2307.5
2016/01/20	2065.0000	2079.0000	2021.6000	2039.2000	7176.00	4423859712	9360	2072.04	2102.98	2241.33	2292.433	2343.543	2302.275
2016/01/21	2046.2000	2075.6001	1989.2000	2000.0000	7757.00	4739840000	10086	2046.24	2088.4	2217.79	2280.7	2338.893	2298.65
2016/01/22	2037.0000	2042.2000	1993.8000	2029.6000	7414.00	4494649344	10199	2036.36	2071.94	2196.37	2270.72	2334.597	2295.377
2016/01/25	2029.6000	2045.8000	2016.2000	2025.8000	5537.00	3371208192	9877	2035.92	2063.56	2173.62	2260.247	2330.257	2291.605
2016/01/26	2014.8000	2022.8000	1919.8000	1925.0000	7265.00	4320643072	10543	2003.92	2043.94	2150.88	2243.953	2324.563	2287.56
2016/01/27	1940.2000	1947.6000	1892.4000	1927.0000	7502.00	4332528640	11046	1981.48	2026.76	2126.68	2229.1	2319.163	2283.517
2016/01/28	1927.0000	1939.6000	1890.2000	1899.4000	6232.00	3590245120	10777	1961.36	2003.8	2101.42	2213.28	2311.367	2279.302
2016/01/29	1907.4000	1972.8000	1904.0000	1955.4000	7396.00	4315574784	10741	1946.52	1991.44	2079.75	2198.34	2303.557	2274.9
2016/02/01	1957.6000	1961.0000	1904.6000	1925.8000	5844.00	3391216384	10359	1926.52	1981.22	2063.34	2181.527	2294.207	2270.542
2016/02/02	1925.0000	1973.8000	1924.6000	1960.6000	5899.00	3459301632	10113	1933.64	1968.78	2048.32	2164.673	2285.1	2266.55
2016/02/03	1944.6000	1948.0000	1917.6000	1940.2000	5553.00	3219041792	9932	1936.28	1958.88	2030.93	2147.18	2275.82	2262.178
2016/02/04	1961.4000	1981.4000	1945.2000	1968.8000	5856.00	3450350080	9349	1950.16	1955.76	2022.08	2130.447	2266.993	2257.123
2016/02/05	1960.8000	1972.0000	1950.0000	1950.0000	4253.00	2498491392	8433	1949.08	1947.8	2009.87	2113.513	2258.46	2252.02
2016/02/15	1910.2000	1949.8000	1907.0000	1937.0000	5232.00	3029521664	8129	1951.32	1938.92	2001.24	2095.387	2250.14	2246.928
